"year"	"value"	"month"
"77"	1970	-0.22	1
"78"	1971	-0.5	1
"79"	1972	-0.8	1
"80"	1973	-0.04	1
"81"	1974	0.82	1
"82"	1975	-1.56	1
"83"	1976	-2.04	1
"84"	1977	-2	1
"85"	1978	-0.62	1
"86"	1979	0.76	1
"87"	1980	0.65	1
"88"	1981	-1.64	1
"89"	1982	0.01	1
"90"	1983	3.09	1
"91"	1984	4.33	1
"92"	1985	1.53	1
"93"	1986	-1.05	1
"94"	1987	-1.43	1
"95"	1988	-1.47	1
"96"	1989	-2	1
"97"	1990	-2.41	1
"98"	1991	-3.04	1
"99"	1992	-1.94	1
"100"	1993	0.22	1
"101"	1994	-1.39	1
"102"	1995	0.42	1
"103"	1996	-0.47	1
"104"	1997	1.25	1
"105"	1998	-0.34	1
"106"	1999	1.97	1
"107"	2000	-1.88	1
"108"	2001	-1.89	1
"109"	2002	-1.89	1
"110"	2003	-2.64	1
"111"	2004	-1.82	1
"112"	2005	0.43	1
"113"	2006	0.76	1
"114"	2007	-2.29	1
"115"	2008	-2.3	1
"116"	2009	-3.15	1
"117"	2010	-1.69	1
"118"	2011	1.11	1
"119"	2012	-0.52	1
"120"	2013	-1.58	1
"121"	2014	-3.9	1
"210"	1895	-0.1	2
"310"	1896	-1.21	2
"410"	1897	1.57	2
"510"	1898	-1.08	2
"610"	1899	-1.93	2
"710"	1900	-0.59	2
"810"	1901	0.8	2
"910"	1902	-0.48	2
"1010"	1903	-0.27	2
"1110"	1904	-1.1	2
"122"	1905	0.35	2
"131"	1906	-0.09	2
"141"	1907	1.97	2
"151"	1908	0.79	2
"161"	1909	1.17	2
"171"	1910	0.36	2
"181"	1911	-0.53	2
"191"	1912	-2.4	2
"201"	1913	-0.78	2
"211"	1914	1.4	2
"221"	1915	0.92	2
"231"	1916	1	2
"241"	1917	0.41	2
"251"	1918	-2.19	2
"261"	1919	-0.41	2
"271"	1920	-1.56	2
"281"	1921	0.42	2
"291"	1922	0.7	2
"301"	1923	-0.29	2
"311"	1924	-2.09	2
"321"	1925	-2.28	2
"331"	1926	-1.22	2
"341"	1927	0.39	2
"351"	1928	-0.47	2
"361"	1929	-2.19	2
"371"	1930	-2.45	2
"381"	1931	-2.25	2
"391"	1932	-0.13	2
"401"	1933	-1.69	2
"411"	1934	-2.34	2
"421"	1935	-1.4	2
"431"	1936	-0.42	2
"441"	1937	-0.16	2
"451"	1938	0.35	2
"461"	1939	-0.72	2
"471"	1940	-0.66	2
"481"	1941	0.94	2
"491"	1942	1.9	2
"501"	1943	0.24	2
"511"	1944	-0.43	2
"521"	1945	-0.2	2
"531"	1946	-0.21	2
"541"	1947	-1.55	2
"551"	1948	-2.42	2
"561"	1949	-1.01	2
"571"	1950	-2.31	2
"581"	1951	-0.73	2
"591"	1952	0.44	2
"601"	1953	-0.89	2
"611"	1954	-1.27	2
"621"	1955	-1.49	2
"631"	1956	0.08	2
"641"	1957	-1.9	2
"651"	1958	0.62	2
"661"	1959	-1.12	2
"671"	1960	-2.53	2
"681"	1961	-2.69	2
"691"	1962	-1.17	2
"701"	1963	-1.06	2
"711"	1964	-0.81	2
"721"	1965	-1.02	2
"731"	1966	0.41	2
"741"	1967	-1.07	2
"751"	1968	-0.95	2
"761"	1969	1.54	2
"771"	1970	-0.81	2
"781"	1971	-1.33	2
"791"	1972	-1.31	2
"801"	1973	0.51	2
"811"	1974	0.19	2
"821"	1975	-1.34	2
"831"	1976	-1.93	2
"841"	1977	-2.9	2
"851"	1978	0.29	2
"861"	1979	0.98	2
"871"	1980	1.6	2
"881"	1981	-2.05	2
"891"	1982	-0.16	2
"901"	1983	3.39	2
"911"	1984	3.43	2
"921"	1985	1.01	2
"931"	1986	0.04	2
"941"	1987	-1.63	2
"951"	1988	-1.96	2
"961"	1989	-2.24	2
"971"	1990	-2.51	2
"981"	1991	-3.51	2
"991"	1992	-1.31	2
"1001"	1993	1.05	2
"1011"	1994	-1.32	2
"1021"	1995	-0.09	2
"1031"	1996	-0.15	2
"1041"	1997	0.47	2
"1051"	1998	1.65	2
"1061"	1999	1.57	2
"1071"	2000	-1.33	2
"1081"	2001	-1.58	2
"1091"	2002	-2.41	2
"1101"	2003	-2.54	2
"1111"	2004	-1.27	2
"1121"	2005	0.74	2
"1131"	2006	0	2
"1141"	2007	-2.37	2
"1151"	2008	-2.18	2
"1161"	2009	-2.79	2
"1171"	2010	-1.43	2
"1181"	2011	1.08	2
"1191"	2012	-1.57	2
"1201"	2013	-2.22	2
"1211"	2014	-4.13	2
"212"	1895	-0.21	3
"312"	1896	-1.12	3
"412"	1897	1.87	3
"512"	1898	-1.48	3
"612"	1899	-1.36	3
"712"	1900	-1.07	3
"812"	1901	0.2	3
"912"	1902	-0.29	3
"1012"	1903	0.32	3
"1112"	1904	-0.09	3
"123"	1905	1.04	3
"132"	1906	1.24	3
"142"	1907	2.89	3
"152"	1908	-0.02	3
"162"	1909	1.18	3
"172"	1910	-0.21	3
"182"	1911	0.03	3
"192"	1912	-1.9	3
"202"	1913	-1.12	3
"213"	1914	0.5	3
"222"	1915	0.46	3
"232"	1916	0.75	3
"242"	1917	-0.03	3
"252"	1918	-1.52	3
"262"	1919	-0.22	3
"272"	1920	-0.98	3
"282"	1921	-0.08	3
"292"	1922	0.82	3
"302"	1923	-1.19	3
"313"	1924	-2.18	3
"322"	1925	-2.44	3
"332"	1926	-2.14	3
"342"	1927	0.26	3
"352"	1928	-0.44	3
"362"	1929	-2.34	3
"372"	1930	-2.3	3
"382"	1931	-2.6	3
"392"	1932	-0.64	3
"402"	1933	-1.8	3
"413"	1934	-3.21	3
"422"	1935	-0.94	3
"432"	1936	-0.98	3
"442"	1937	0.4	3
"452"	1938	1.69	3
"462"	1939	-0.74	3
"472"	1940	-0.81	3
"482"	1941	1.35	3
"492"	1942	1.26	3
"502"	1943	0.49	3
"513"	1944	-0.61	3
"522"	1945	0.19	3
"532"	1946	-0.44	3
"542"	1947	-1.86	3
"552"	1948	-2.14	3
"562"	1949	-0.64	3
"572"	1950	-2.33	3
"582"	1951	-1.3	3
"592"	1952	1.07	3
"602"	1953	-1.32	3
"613"	1954	-0.86	3
"622"	1955	-1.96	3
"632"	1956	-0.83	3
"642"	1957	-1.92	3
"652"	1958	1.31	3
"662"	1959	-2.14	3
"672"	1960	-2.56	3
"682"	1961	-2.67	3
"692"	1962	-1.06	3
"702"	1963	-0.93	3
"713"	1964	-1.21	3
"722"	1965	-1.59	3
"732"	1966	-0.28	3
"742"	1967	-1.03	3
"752"	1968	-1.35	3
"762"	1969	1.11	3
"772"	1970	-0.95	3
"782"	1971	-1.5	3
"792"	1972	-2.17	3
"802"	1973	0.96	3
"813"	1974	0.56	3
"822"	1975	-0.62	3
"832"	1976	-2.14	3
"842"	1977	-3.14	3
"852"	1978	1.12	3
"862"	1979	1.14	3
"872"	1980	1.6	3
"882"	1981	-1.65	3
"892"	1982	0.45	3
"902"	1983	4.47	3
"913"	1984	2.16	3
"922"	1985	0.88	3
"932"	1986	0.39	3
"942"	1987	-1.48	3
"952"	1988	-2.58	3
"962"	1989	-2.08	3
"972"	1990	-3	3
"982"	1991	-2.07	3
"992"	1992	-0.8	3
"1002"	1993	1.01	3
"1013"	1994	-1.98	3
"1022"	1995	1.4	3
"1032"	1996	-0.42	3
"1042"	1997	-0.73	3
"1052"	1998	2.03	3
"1062"	1999	0.96	3
"1072"	2000	-1.49	3
"1082"	2001	-1.65	3
"1092"	2002	-2.64	3
"1102"	2003	-2.41	3
"1113"	2004	-2.02	3
"1122"	2005	0.88	3
"1132"	2006	0.53	3
"1142"	2007	-3.17	3
"1152"	2008	-2.7	3
"1162"	2009	-2.86	3
"1172"	2010	-1.45	3
"1182"	2011	1.6	3
"1192"	2012	-1.46	3
"1202"	2013	-2.88	3
"1212"	2014	-4.08	3
"214"	1895	-0.33	4
"314"	1896	-0.01	4
"414"	1897	1.43	4
"514"	1898	-2.09	4
"614"	1899	-1.62	4
"714"	1900	-0.83	4
"814"	1901	0.36	4
"914"	1902	-0.17	4
"1014"	1903	0.13	4
"1114"	1904	0.04	4
"124"	1905	0.9	4
"133"	1906	1.28	4
"143"	1907	2.51	4
"153"	1908	-0.79	4
"163"	1909	0.38	4
"173"	1910	-0.91	4
"183"	1911	0.13	4
"193"	1912	-1.24	4
"203"	1913	-1.19	4
"215"	1914	0.48	4
"223"	1915	0.53	4
"233"	1916	0.18	4
"243"	1917	0.03	4
"253"	1918	-1.72	4
"263"	1919	-0.51	4
"273"	1920	-0.62	4
"283"	1921	-0.72	4
"293"	1922	0.62	4
"303"	1923	-0.66	4
"315"	1924	-2.37	4
"323"	1925	-1.93	4
"333"	1926	-1.24	4
"343"	1927	0.53	4
"353"	1928	-0.68	4
"363"	1929	-2.02	4
"373"	1930	-2.28	4
"383"	1931	-2.57	4
"393"	1932	-0.65	4
"403"	1933	-1.99	4
"415"	1934	-3.81	4
"423"	1935	0.33	4
"433"	1936	-1.08	4
"443"	1937	0.46	4
"453"	1938	1.78	4
"463"	1939	-1.2	4
"473"	1940	-0.94	4
"483"	1941	2.23	4
"493"	1942	1.63	4
"503"	1943	0.6	4
"515"	1944	-0.31	4
"523"	1945	-0.29	4
"533"	1946	-1.18	4
"543"	1947	-2.24	4
"553"	1948	-1.19	4
"563"	1949	-1.16	4
"573"	1950	-2.47	4
"583"	1951	-1.46	4
"593"	1952	1.08	4
"603"	1953	-1.18	4
"615"	1954	-0.97	4
"623"	1955	-1.58	4
"633"	1956	-0.83	4
"643"	1957	-1.8	4
"653"	1958	2.15	4
"663"	1959	-2.89	4
"673"	1960	-2.52	4
"683"	1961	-2.91	4
"693"	1962	-1.59	4
"703"	1963	0.08	4
"715"	1964	-1.66	4
"723"	1965	-0.59	4
"733"	1966	-0.89	4
"743"	1967	0.49	4
"753"	1968	-1.92	4
"763"	1969	1.13	4
"773"	1970	-1.27	4
"783"	1971	-1.57	4
"793"	1972	-2.27	4
"803"	1973	0.47	4
"815"	1974	0.57	4
"823"	1975	0	4
"833"	1976	-1.95	4
"843"	1977	-3.69	4
"853"	1978	2.23	4
"863"	1979	0.97	4
"873"	1980	1.56	4
"883"	1981	-1.89	4
"893"	1982	1.22	4
"903"	1983	4.79	4
"915"	1984	1.5	4
"923"	1985	-0.03	4
"933"	1986	0.05	4
"943"	1987	-2.15	4
"953"	1988	-2.13	4
"963"	1989	-2.63	4
"973"	1990	-3.38	4
"983"	1991	-2.05	4
"993"	1992	-0.93	4
"1003"	1993	1	4
"1015"	1994	-2.19	4
"1023"	1995	1.96	4
"1033"	1996	-0.49	4
"1043"	1997	-1.37	4
"1053"	1998	2.35	4
"1063"	1999	1.1	4
"1073"	2000	-1.47	4
"1083"	2001	-1.39	4
"1093"	2002	-3.01	4
"1103"	2003	-1.53	4
"1115"	2004	-2.35	4
"1123"	2005	1	4
"1133"	2006	1.31	4
"1143"	2007	-3.35	4
"1153"	2008	-3.04	4
"1163"	2009	-3.1	4
"1173"	2010	-0.55	4
"1183"	2011	1.3	4
"1193"	2012	-1.2	4
"1203"	2013	-3.32	4
"1213"	2014	-4.19	4
"216"	1895	0.01	5
"316"	1896	0.48	5
"416"	1897	0.88	5
"516"	1898	-1.74	5
"616"	1899	-1.44	5
"716"	1900	-0.72	5
"816"	1901	0.5	5
"916"	1902	-0.14	5
"1016"	1903	-0.18	5
"1116"	1904	-0.26	5
"125"	1905	1.48	5
"134"	1906	2.14	5
"144"	1907	2.35	5
"154"	1908	-0.55	5
"164"	1909	-0.14	5
"174"	1910	-1.44	5
"184"	1911	0.19	5
"194"	1912	-0.66	5
"204"	1913	-1.23	5
"217"	1914	0.21	5
"224"	1915	1.68	5
"234"	1916	0.09	5
"244"	1917	0.16	5
"254"	1918	-1.78	5
"264"	1919	-0.81	5
"274"	1920	-0.74	5
"284"	1921	-0.1	5
"294"	1922	0.83	5
"304"	1923	-0.88	5
"317"	1924	-2.92	5
"324"	1925	-1.53	5
"334"	1926	-1.29	5
"344"	1927	0.58	5
"354"	1928	-1.13	5
"364"	1929	-2.3	5
"374"	1930	-1.79	5
"384"	1931	-2.66	5
"394"	1932	-0.48	5
"404"	1933	-1.47	5
"417"	1934	-3.98	5
"424"	1935	0.3	5
"434"	1936	-1.22	5
"444"	1937	0.23	5
"454"	1938	1.65	5
"464"	1939	-1.27	5
"474"	1940	-1.17	5
"484"	1941	2.65	5
"494"	1942	1.84	5
"504"	1943	0.29	5
"517"	1944	-0.21	5
"524"	1945	0	5
"534"	1946	-1.42	5
"544"	1947	-2.51	5
"554"	1948	-0.83	5
"564"	1949	-1	5
"574"	1950	-2.51	5
"584"	1951	-1.45	5
"594"	1952	0.98	5
"604"	1953	-0.67	5
"617"	1954	-1.49	5
"624"	1955	-1.48	5
"634"	1956	-0.57	5
"644"	1957	-0.83	5
"654"	1958	2.08	5
"664"	1959	-3.1	5
"674"	1960	-2.32	5
"684"	1961	-2.75	5
"694"	1962	-1.52	5
"704"	1963	0.21	5
"717"	1964	-1.6	5
"724"	1965	-0.77	5
"734"	1966	-1.56	5
"744"	1967	0.45	5
"754"	1968	-2.1	5
"764"	1969	0.79	5
"774"	1970	-1.77	5
"784"	1971	-1.18	5
"794"	1972	-2.56	5
"804"	1973	0.14	5
"817"	1974	0.15	5
"824"	1975	-0.3	5
"834"	1976	-2.29	5
"844"	1977	-2.97	5
"854"	1978	2.16	5
"864"	1979	0.92	5
"874"	1980	1.64	5
"884"	1981	-1.82	5
"894"	1982	0.96	5
"904"	1983	4.69	5
"917"	1984	0.62	5
"924"	1985	-0.79	5
"934"	1986	-0.11	5
"944"	1987	-2.38	5
"954"	1988	-1.99	5
"964"	1989	-2.68	5
"974"	1990	-2.73	5
"984"	1991	-1.81	5
"994"	1992	-1.29	5
"1004"	1993	1.16	5
"1017"	1994	-2.01	5
"1024"	1995	2.41	5
"1034"	1996	-0.12	5
"1044"	1997	-2.18	5
"1054"	1998	3.42	5
"1064"	1999	0.73	5
"1074"	2000	-1.46	5
"1084"	2001	-1.76	5
"1094"	2002	-3.08	5
"1104"	2003	-1.29	5
"1117"	2004	-2.68	5
"1124"	2005	1.97	5
"1134"	2006	1.12	5
"1144"	2007	-3.71	5
"1154"	2008	-3.05	5
"1164"	2009	-3.04	5
"1174"	2010	0.01	5
"1184"	2011	1.49	5
"1194"	2012	-1.73	5
"1204"	2013	-3.52	5
"1214"	2014	-4.5	5
"218"	1895	-0.14	6
"318"	1896	0.49	6
"418"	1897	0.61	6
"518"	1898	-1.64	6
"618"	1899	-1.15	6
"718"	1900	-0.68	6
"818"	1901	0.47	6
"918"	1902	-0.24	6
"1018"	1903	-0.36	6
"1118"	1904	-0.66	6
"126"	1905	1.58	6
"135"	1906	2.64	6
"145"	1907	2.53	6
"155"	1908	-0.49	6
"165"	1909	-0.44	6
"175"	1910	-1.74	6
"185"	1911	0.29	6
"195"	1912	-0.18	6
"205"	1913	-0.93	6
"219"	1914	0.42	6
"225"	1915	1.81	6
"235"	1916	0.03	6
"245"	1917	0.1	6
"255"	1918	-1.65	6
"265"	1919	-1.17	6
"275"	1920	-0.58	6
"285"	1921	0.04	6
"295"	1922	0.86	6
"305"	1923	-0.62	6
"319"	1924	-3.32	6
"325"	1925	-1.05	6
"335"	1926	-1.52	6
"345"	1927	0.7	6
"355"	1928	-1.45	6
"365"	1929	-1.87	6
"375"	1930	-1.66	6
"385"	1931	-2.39	6
"395"	1932	-0.42	6
"405"	1933	-1.22	6
"419"	1934	-3.65	6
"425"	1935	0.11	6
"435"	1936	-0.96	6
"445"	1937	0.36	6
"455"	1938	1.52	6
"465"	1939	-1.45	6
"475"	1940	-1.46	6
"485"	1941	2.82	6
"495"	1942	1.71	6
"505"	1943	0.36	6
"519"	1944	0.06	6
"525"	1945	0.06	6
"535"	1946	-1.65	6
"545"	1947	-2.27	6
"555"	1948	-0.4	6
"565"	1949	-1.19	6
"575"	1950	-2.37	6
"585"	1951	-1.66	6
"595"	1952	1.07	6
"605"	1953	-0.25	6
"619"	1954	-1.36	6
"625"	1955	-1.38	6
"635"	1956	-0.46	6
"645"	1957	-0.58	6
"655"	1958	2.23	6
"665"	1959	-3.32	6
"675"	1960	-2.45	6
"685"	1961	-2.69	6
"695"	1962	-1.5	6
"705"	1963	0.5	6
"719"	1964	-1.35	6
"725"	1965	-0.68	6
"735"	1966	-1.91	6
"745"	1967	0.77	6
"755"	1968	-2.2	6
"765"	1969	0.82	6
"775"	1970	-1.78	6
"785"	1971	-0.88	6
"795"	1972	-2.39	6
"805"	1973	-0.37	6
"819"	1974	-0.18	6
"825"	1975	-0.44	6
"835"	1976	-2.49	6
"845"	1977	-2.85	6
"855"	1978	2.03	6
"865"	1979	0.59	6
"875"	1980	1.72	6
"885"	1981	-2.01	6
"895"	1982	1.07	6
"905"	1983	4.56	6
"919"	1984	0.36	6
"925"	1985	-1.37	6
"935"	1986	-0.48	6
"945"	1987	-2.59	6
"955"	1988	-1.73	6
"965"	1989	-2.67	6
"975"	1990	-2.45	6
"985"	1991	-1.55	6
"995"	1992	-1.44	6
"1005"	1993	1.69	6
"1019"	1994	-2.03	6
"1025"	1995	2.88	6
"1035"	1996	-0.12	6
"1045"	1997	-2.16	6
"1055"	1998	3.9	6
"1065"	1999	0.59	6
"1075"	2000	-1.39	6
"1085"	2001	-2.06	6
"1095"	2002	-3.15	6
"1105"	2003	-1.24	6
"1119"	2004	-2.93	6
"1125"	2005	2.37	6
"1135"	2006	0.92	6
"1145"	2007	-3.84	6
"1155"	2008	-3.23	6
"1165"	2009	-2.79	6
"1175"	2010	0.38	6
"1185"	2011	1.9	6
"1195"	2012	-1.91	6
"1205"	2013	-3.52	6
"1215"	2014	-4.69	6
"220"	1895	-0.17	7
"320"	1896	0.67	7
"420"	1897	0.35	7
"520"	1898	-1.64	7
"620"	1899	-1.15	7
"720"	1900	-0.73	7
"820"	1901	0.19	7
"920"	1902	-0.25	7
"1020"	1903	-0.6	7
"1120"	1904	-0.86	7
"127"	1905	1.37	7
"136"	1906	2.85	7
"146"	1907	2.57	7
"156"	1908	-0.38	7
"166"	1909	-0.57	7
"176"	1910	-1.65	7
"186"	1911	0.46	7
"196"	1912	0.23	7
"206"	1913	-0.14	7
"2110"	1914	0.47	7
"226"	1915	1.86	7
"236"	1916	0.25	7
"246"	1917	0.2	7
"256"	1918	-1.63	7
"266"	1919	-1.21	7
"276"	1920	-0.61	7
"286"	1921	0.03	7
"296"	1922	0.79	7
"306"	1923	-0.3	7
"3110"	1924	-3.45	7
"326"	1925	-0.81	7
"336"	1926	-1.67	7
"346"	1927	0.66	7
"356"	1928	-1.73	7
"366"	1929	-1.73	7
"376"	1930	-1.71	7
"386"	1931	-2.44	7
"396"	1932	-0.56	7
"406"	1933	-1.21	7
"4110"	1934	-3.45	7
"426"	1935	-0.16	7
"436"	1936	-0.56	7
"446"	1937	0.44	7
"456"	1938	1.27	7
"466"	1939	-1.51	7
"476"	1940	-1.73	7
"486"	1941	2.86	7
"496"	1942	1.45	7
"506"	1943	0.38	7
"5110"	1944	0.21	7
"526"	1945	0.06	7
"536"	1946	-1.43	7
"546"	1947	-2.1	7
"556"	1948	-0.19	7
"566"	1949	-1.46	7
"576"	1950	-2.13	7
"586"	1951	-1.77	7
"596"	1952	1.33	7
"606"	1953	0.08	7
"6110"	1954	-1.27	7
"626"	1955	-1.21	7
"636"	1956	-0.3	7
"646"	1957	-0.66	7
"656"	1958	2.28	7
"666"	1959	-3.37	7
"676"	1960	-2.54	7
"686"	1961	-2.69	7
"696"	1962	-1.54	7
"706"	1963	0.52	7
"7110"	1964	-1.14	7
"726"	1965	-0.5	7
"736"	1966	-1.96	7
"746"	1967	0.96	7
"756"	1968	-2.03	7
"766"	1969	0.78	7
"776"	1970	-1.8	7
"786"	1971	-0.65	7
"796"	1972	-2.53	7
"806"	1973	-0.77	7
"8110"	1974	0.03	7
"826"	1975	-0.57	7
"836"	1976	-2.35	7
"846"	1977	-2.85	7
"856"	1978	1.74	7
"866"	1979	0.65	7
"876"	1980	1.8	7
"886"	1981	-2.17	7
"896"	1982	1.2	7
"906"	1983	4.27	7
"9110"	1984	0.7	7
"926"	1985	-1.59	7
"936"	1986	-0.57	7
"946"	1987	-2.48	7
"956"	1988	-1.68	7
"966"	1989	-2.67	7
"976"	1990	-2.09	7
"986"	1991	-1.23	7
"996"	1992	-1.33	7
"1006"	1993	1.72	7
"10110"	1994	-2.13	7
"1026"	1995	3.01	7
"1036"	1996	-0.1	7
"1046"	1997	-1.95	7
"1056"	1998	4.24	7
"1066"	1999	0.64	7
"1076"	2000	-1.48	7
"1086"	2001	-1.99	7
"1096"	2002	-3.19	7
"1106"	2003	-1.34	7
"11110"	2004	-3.03	7
"1126"	2005	2.56	7
"1136"	2006	0.6	7
"1146"	2007	-3.72	7
"1156"	2008	-3.2	7
"1166"	2009	-2.68	7
"1176"	2010	0.31	7
"1186"	2011	2.17	7
"1196"	2012	-1.83	7
"1206"	2013	-3.32	7
"1216"	2014	NA	7
"227"	1895	-0.3	8
"327"	1896	0.87	8
"427"	1897	0.17	8
"527"	1898	-1.52	8
"627"	1899	-0.9	8
"727"	1900	-0.82	8
"827"	1901	0.3	8
"927"	1902	-0.32	8
"1027"	1903	-0.77	8
"1127"	1904	-0.67	8
"128"	1905	1.05	8
"137"	1906	2.8	8
"147"	1907	2.42	8
"157"	1908	-0.4	8
"167"	1909	-0.25	8
"177"	1910	-1.69	8
"187"	1911	0.1	8
"197"	1912	0.28	8
"207"	1913	0.2	8
"2111"	1914	0.22	8
"228"	1915	1.59	8
"237"	1916	0.33	8
"247"	1917	0.06	8
"257"	1918	-1.47	8
"267"	1919	-1.29	8
"277"	1920	-0.4	8
"287"	1921	0.08	8
"297"	1922	0.78	8
"307"	1923	-0.2	8
"3111"	1924	-3.35	8
"328"	1925	-0.56	8
"337"	1926	-1.62	8
"347"	1927	0.46	8
"357"	1928	-1.87	8
"367"	1929	-1.58	8
"377"	1930	-1.65	8
"387"	1931	-2.05	8
"397"	1932	-0.81	8
"407"	1933	-1.32	8
"4111"	1934	-3.17	8
"428"	1935	0.01	8
"437"	1936	-0.55	8
"447"	1937	0.1	8
"457"	1938	0.95	8
"467"	1939	-1.54	8
"477"	1940	-1.89	8
"487"	1941	2.88	8
"497"	1942	1.32	8
"507"	1943	0.22	8
"5111"	1944	0	8
"528"	1945	0.29	8
"537"	1946	-1.48	8
"547"	1947	-1.84	8
"557"	1948	-0.26	8
"567"	1949	-1.52	8
"577"	1950	-2.2	8
"587"	1951	-1.54	8
"597"	1952	0.99	8
"607"	1953	0.14	8
"6111"	1954	-1.08	8
"628"	1955	-0.95	8
"637"	1956	-0.48	8
"647"	1957	-0.74	8
"657"	1958	2.22	8
"667"	1959	-3.16	8
"677"	1960	-2.64	8
"687"	1961	-2.25	8
"697"	1962	-1.49	8
"707"	1963	0.58	8
"7111"	1964	-1.13	8
"728"	1965	0.03	8
"737"	1966	-2.04	8
"747"	1967	0.91	8
"757"	1968	-1.53	8
"767"	1969	0.42	8
"777"	1970	-1.76	8
"787"	1971	-0.47	8
"797"	1972	-2.4	8
"807"	1973	-0.86	8
"8111"	1974	0.01	8
"828"	1975	-0.44	8
"837"	1976	-1.65	8
"847"	1977	-2.03	8
"857"	1978	1.48	8
"867"	1979	0.76	8
"877"	1980	1.41	8
"887"	1981	-2.19	8
"897"	1982	1.27	8
"907"	1983	5.06	8
"9111"	1984	1.04	8
"928"	1985	-1.83	8
"937"	1986	-0.7	8
"947"	1987	-2.51	8
"957"	1988	-1.43	8
"967"	1989	-2.4	8
"977"	1990	-1.72	8
"987"	1991	-1.06	8
"997"	1992	-1.32	8
"1007"	1993	1.62	8
"10111"	1994	-2.18	8
"1028"	1995	2.66	8
"1037"	1996	-0.26	8
"1047"	1997	-1.79	8
"1057"	1998	3.93	8
"1067"	1999	0.59	8
"1077"	2000	-1.33	8
"1087"	2001	-2.06	8
"1097"	2002	-3.19	8
"1107"	2003	-0.97	8
"11111"	2004	-2.87	8
"1128"	2005	2.41	8
"1137"	2006	0.21	8
"1147"	2007	-3.52	8
"1157"	2008	-3.12	8
"1167"	2009	-2.64	8
"1177"	2010	0.01	8
"1187"	2011	1.96	8
"1197"	2012	-1.72	8
"1207"	2013	-3.1	8
"1217"	2014	NA	8
"229"	1895	0.25	9
"329"	1896	0.86	9
"429"	1897	0.06	9
"529"	1898	-1.35	9
"629"	1899	-1.12	9
"729"	1900	-0.78	9
"829"	1901	0.6	9
"929"	1902	-0.64	9
"1029"	1903	-0.86	9
"1129"	1904	0.47	9
"129"	1905	0.82	9
"138"	1906	2.43	9
"148"	1907	2.03	9
"158"	1908	-0.13	9
"168"	1909	-0.19	9
"178"	1910	-1.46	9
"188"	1911	0.18	9
"198"	1912	0.7	9
"208"	1913	-0.04	9
"2112"	1914	0.09	9
"2210"	1915	1.16	9
"238"	1916	0.37	9
"248"	1917	-0.22	9
"258"	1918	-0.39	9
"268"	1919	-0.8	9
"278"	1920	-0.38	9
"288"	1921	0.12	9
"298"	1922	0.41	9
"308"	1923	0.36	9
"3112"	1924	-3.28	9
"3210"	1925	-0.16	9
"338"	1926	-1.65	9
"348"	1927	0.23	9
"358"	1928	-2.03	9
"368"	1929	-1.52	9
"378"	1930	-1.44	9
"388"	1931	-1.99	9
"398"	1932	-1.03	9
"408"	1933	-1.44	9
"4112"	1934	-3.04	9
"4210"	1935	-0.25	9
"438"	1936	-0.78	9
"448"	1937	-0.27	9
"458"	1938	0.78	9
"468"	1939	-0.41	9
"478"	1940	-1.62	9
"488"	1941	2.54	9
"498"	1942	0.75	9
"508"	1943	-0.14	9
"5112"	1944	-0.36	9
"5210"	1945	-0.08	9
